1
100
          eigenvalue % of variance % of variance (cumulative)
component                                                    
0              0.218        21.81%                     21.81%
1              0.098         9.77%                     31.58%
2              0.090         9.01%                     40.59%
3              0.074         7.42%                     48.01%
4              0.063         6.27%                     54.28%
               0         1         2         3         4
A8__0   0.727647  0.098646  0.250751 -0.214293  0.529957
A8__1  -0.358393 -0.048587 -0.123504  0.105547 -0.261024
A9__0   0.726295 -0.781316  0.451404  0.331570  0.667437
A9__1  -0.170366  0.183272 -0.105885 -0.077776 -0.156559
A10__0 -0.414286  0.010443  0.030221  0.012040  0.004515
A10__1  1.766168 -0.044518 -0.128837 -0.051329 -0.019249
A11__0 -0.263309  0.030087  0.002350  0.018077  0.137289
A11__1  1.930933 -0.220639 -0.017237 -0.132566 -1.006785
A12__0 -0.344588  0.010320  0.057291  0.028928  0.053668
A12__1  2.116755 -0.063395 -0.351932 -0.177700 -0.329673
A13__0 -0.370361 -0.021476  0.032297  0.030907  0.004516
A13__1  1.687200  0.097837 -0.147132 -0.140797 -0.020571
A14__0 -0.361817  0.064354  0.079555  0.021920  0.020792
A14__1  1.648279 -0.293167 -0.362415 -0.099859 -0.094721
A15__0 -0.187890  0.165563  0.257730 -0.542557 -0.185081
A15__1  0.229643 -0.202355 -0.315003  0.663126  0.226211
A16__0 -0.265607 -0.130344  0.733284 -0.919925  0.530758
A16__1  0.103292  0.050689 -0.285166  0.357748 -0.206406
A17__0 -0.395289 -0.091537  0.116004 -0.024870 -0.184875
A17__1  1.016459  0.235381 -0.298295  0.063952  0.475392
A18__0 -0.000765 -0.098235  0.040557 -0.037831 -0.142049
A18__1  0.011990  1.539020 -0.635389  0.592684  2.225428
A19__0 -0.072751 -0.110599 -0.006633  0.094850  0.061882
A19__1  0.654759  0.995389  0.059693 -0.853651 -0.556942
A20__0  0.331290 -0.429113  0.366233 -0.005674 -0.056275
A20__1 -0.373582  0.483893 -0.412986  0.006399  0.063459
A21__0  0.040154 -0.487088  0.379248  0.123196  0.164614
A21__1 -0.049077  0.595330 -0.463525 -0.150573 -0.201195
A22__0 -0.113731 -0.263423 -0.074218  0.118886 -0.010152
A22__1  0.518107  1.200040  0.338102 -0.541594  0.046246
A23__0 -0.011267  0.039054 -0.214158 -0.179184  0.162010
A23__1  0.051326 -0.177912  0.975608  0.816284 -0.738048
A24__0 -0.053133 -0.123551 -0.124974  0.003008 -0.022852
A24__1  0.537232  1.249242  1.263628 -0.030413  0.231059
A25__0 -0.097114 -0.134696 -0.356020 -0.048099  0.086388
A25__1  0.344313  0.477558  1.262252  0.170532 -0.306286
A26__0 -0.100858 -0.272550 -0.280444 -0.370583 -0.135292
A26__1  0.187308  0.506164  0.520824  0.688225  0.251256
A27__0 -0.017596 -0.495420  0.005434 -0.345948  0.188240
A27__1  0.019842  0.558665 -0.006128  0.390112 -0.212270
